id,domain,domain_description,sql_complexity,sql_complexity_description,sql_task_type,sql_task_type_description,sql_prompt,sql_context,sql,sql_explanation
5133,defense operations,"Defense data on military innovation, peacekeeping operations, defense diplomacy, and humanitarian assistance.",basic SQL,basic SQL with a simple select statement,data retrieval,basic data fetching queries,Show all records in the defense_diplomacy table where the participant_country is 'China' or 'India',"CREATE TABLE defense_diplomacy (diplomacy_id INT, event_name VARCHAR(50), participant_country VARCHAR(50), event_date DATE, event_description TEXT);","SELECT * FROM defense_diplomacy WHERE participant_country IN ('China', 'India');",This query selects all records from the defense_diplomacy table where the participant_country is 'China' or 'India'.
5134,defense security,"Detailed records on military technology, intelligence operations, national security, and cybersecurity strategies.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights","What was the total number of military personnel in the United States in 2018, 2019, and 2020?","CREATE TABLE us_military_personnel (id INT, year INT, personnel INT); INSERT INTO us_military_personnel (id, year, personnel) VALUES (1, 2018, 2100000), (2, 2019, 2150000), (3, 2020, 2180000);","SELECT SUM(personnel) FROM us_military_personnel WHERE year IN (2018, 2019, 2020);","The SQL query calculates the total number of military personnel in the United States in 2018, 2019, and 2020 by summing the 'personnel' column from the 'us_military_personnel' table where the 'year' is either 2018, 2019, or 2020."
5135,justice,"Justice data on restorative justice, access to justice, criminal justice reform, and legal technology.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the name and age of the youngest inmate in the prison table?,"CREATE TABLE prison (id INT, name TEXT, security_level TEXT, age INT); INSERT INTO prison (id, name, security_level, age) VALUES (1, 'John Doe', 'low_security', 25); INSERT INTO prison (id, name, security_level, age) VALUES (2, 'Jane Smith', 'medium_security', 35);","SELECT name, age FROM prison ORDER BY age LIMIT 1;",This query selects the name and age of the youngest inmate in the prison table by ordering the records by the age column in ascending order and selecting the top record using the LIMIT clause.
5136,tourism,"International visitor statistics, travel advisory information, destination marketing data, and sustainable tourism practices.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What is the average hotel star rating for hotels in Japan and South Korea?,"CREATE TABLE hotel_ratings (country VARCHAR(50), stars FLOAT); INSERT INTO hotel_ratings (country, stars) VALUES ('Japan', 4.2), ('South Korea', 4.5);","SELECT AVG(stars) FROM hotel_ratings WHERE country IN ('Japan', 'South Korea');",The SQL query calculates the average hotel star rating for hotels in Japan and South Korea by averaging the stars column values where the country is either 'Japan' or 'South Korea'.
5137,media,"Media data on content diversity, media literacy, disinformation detection, and media representation.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total word count for articles in each language per week?,"CREATE TABLE Articles (id INT, language TEXT, publish_date DATE, word_count INT); INSERT INTO Articles (id, language, publish_date, word_count) VALUES (1, 'Language 1', '2023-01-01', 500);","SELECT language, DATE_TRUNC('week', publish_date) as week, SUM(word_count) as total_word_count FROM Articles GROUP BY language, week ORDER BY week;",This query calculates the total word count for articles in each language per week. It groups the data by both 'language' and 'week' columns and calculates the sum of word counts for each group using the SUM function. It orders the results by week.
5138,public health,"Community health statistics, infectious disease tracking data, healthcare access metrics, and public health policy analysis.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights","What is the average age of patients who received a flu shot in California, grouped by county?","CREATE TABLE vaccinations (patient_id INT, county VARCHAR(20), vaccine VARCHAR(20)); INSERT INTO vaccinations (patient_id, county, vaccine) VALUES (1, 'Los Angeles', 'Flu'), (2, 'San Francisco', 'Flu'), (3, 'San Diego', 'Flu'); CREATE TABLE patients (patient_id INT, age INT); INSERT INTO patients (patient_id, age) VALUES (1, 45), (2, 30), (3, 50);","SELECT v.county, AVG(p.age) as avg_age FROM vaccinations v INNER JOIN patients p ON v.patient_id = p.patient_id WHERE vaccine = 'Flu' AND county = 'California' GROUP BY v.county;","This query joins the 'vaccinations' and 'patients' tables on 'patient_id'. It filters for patients who received a flu shot in California. Then, it calculates the average age of those patients, grouped by county."
5139,automotive,"Vehicle safety testing results, autonomous driving research data, electric vehicle adoption statistics, and auto show information.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",What was the highest horsepower vehicle at the 2021 Geneva Motor Show?,"CREATE TABLE geneva_motor_show (year INT, make VARCHAR(50), model VARCHAR(50), horsepower INT); INSERT INTO geneva_motor_show (year, make, model, horsepower) VALUES (2021, 'Koenigsegg', 'Jesko', 1600), (2021, 'Bugatti', 'Chiron Super Sport', 1578), (2021, 'Rimac', 'Nevera', 1914), (2021, 'Pagani', 'Huayra BC', 800);","SELECT make, model, MAX(horsepower) FROM geneva_motor_show WHERE year = 2021;","This query lists the highest horsepower vehicle at the 2021 Geneva Motor Show by using the SELECT statement with the make, model, and MAX function on the horsepower column, filtering the records for 2021 using the WHERE clause."
5140,rural development,"Agricultural innovation metrics, rural infrastructure projects, community development initiatives, and economic diversification efforts.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the number of economic diversification initiatives in tourism and their total budget for the last 3 years?,"CREATE TABLE economic_diversification (id INT, initiative_name TEXT, budget INT, category TEXT, start_year INT); INSERT INTO economic_diversification (id, initiative_name, budget, category, start_year) VALUES (1, 'Cultural Festival', 30000, 'Tourism', 2019), (2, 'Eco-Lodge Development', 50000, 'Tourism', 2020), (3, 'Agri-Tourism Program', 40000, 'Tourism', 2021);","SELECT category, start_year, COUNT(*), SUM(budget) FROM economic_diversification WHERE start_year >= 2019 GROUP BY category, start_year;",Calculate the number and total budget for economic diversification initiatives in the tourism sector for the last 3 years using COUNT(*) and SUM() functions and grouping by category and start year.
5141,automotive,"Vehicle safety testing results, autonomous driving research data, electric vehicle adoption statistics, and auto show information.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",Which electric vehicle models have a safety rating above 4.5?,"CREATE TABLE VehicleModels (Model VARCHAR(255), Manufacturer VARCHAR(255), SafetyRating FLOAT); INSERT INTO VehicleModels (Model, Manufacturer, SafetyRating) VALUES ('Model S', 'Tesla', 5.1), ('Model 3', 'Tesla', 4.9), ('Prius', 'Toyota', 4.6), ('Civic', 'Honda', 4.4);",SELECT Model FROM VehicleModels WHERE SafetyRating > 4.5;,This query retrieves the names of electric vehicle models with a safety rating above 4.5 by selecting the Model column for rows where the SafetyRating column is greater than 4.5.
5142,sports entertainment,"Sports team performance data, fan demographics, ticket sales statistics, and athlete wellbeing programs.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights","How many athletes have participated in wellbeing programs in each sport in the last year, and which sport had the most participants?","CREATE TABLE wellbeing_programs (athlete_id INT, sport VARCHAR(50), program_date DATE); INSERT INTO wellbeing_programs (athlete_id, sport, program_date) VALUES (1, 'Soccer', '2022-01-01'), (2, 'Basketball', '2022-01-02'), (3, 'Football', '2022-01-03'), (4, 'Soccer', '2022-01-04'), (5, 'Baseball', '2022-01-05');","SELECT sport, COUNT(DISTINCT athlete_id) AS participants FROM wellbeing_programs WHERE program_date >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR) GROUP BY sport ORDER BY participants DESC;",The query filters the wellbeing programs data for the last year and then calculates the number of distinct athletes who participated in each sport using the COUNT DISTINCT function. The query groups the results by sport and orders them by number of participants in descending order.
5143,space,"Space data on space exploration, satellite technology, space debris mitigation, and astrobiology.",subqueries,"subqueries, including correlated and nested subqueries",analytics and reporting,"generating reports, dashboards, and analytical insights",What is the total number of space missions led by women?,"CREATE TABLE space_missions (id INT, name VARCHAR(255), leader VARCHAR(255), year INT); INSERT INTO space_missions (id, name, leader, year) VALUES (1, 'Mars Rover', 'Dr. Jessica Watkins', 2022); INSERT INTO space_missions (id, name, leader, year) VALUES (2, 'ISS Expedition', 'Anousheh Ansari', 2023);",SELECT COUNT(*) FROM space_missions WHERE leader IN (SELECT name FROM astronauts WHERE gender = 'Female');,"This query counts the number of space missions led by women by using a subquery to first select the names of all female astronauts, and then using the WHERE clause to filter the rows to be counted based on whether the leader is one of those names."
